district,address,complete_address,gcj02_lng,gcj02_lat,wgs84_lng,wgs84_lat,street_level
浦东新区,张东路2281弄,上海市浦东新区张东路2281弄,121.63742,31.201487,121.6331938,31.20367194,张江镇
浦东新区,临江村西新队罗汉松,上海市浦东新区罗汉松,121.4818,31.12607,121.477313,31.12808759,三林镇
浦东新区,临江村丁家队丁家宅,上海市浦东新区丁家宅,121.609684,31.18105,121.6054857,31.18327329,张江镇
浦东新区,浦电路221号,上海市浦东新区浦电路221号,121.523775,31.218517,121.5194289,31.22061106,潍坊新村街道
浦东新区,龚路支路473弄,上海市浦东新区龚路支路473弄,121.687927,31.264253,121.6836037,31.26631826,曹路镇
浦东新区,繁荣东路159弄,上海市浦东新区繁荣东路159弄,121.585843,31.107723,121.5816457,31.10998515,周浦镇
浦东新区,建新村,上海市浦东新区建新村,121.67628,31.294747,121.6719761,31.29682139,曹路镇
浦东新区,新川路709弄,上海市浦东新区新川路709弄,121.69209,31.190702,121.6877654,31.19279398,川沙新镇
浦东新区,瑞阳路81弄,上海市浦东新区瑞阳路81弄,121.588456,31.098891,121.5842614,31.10115926,周浦镇
浦东新区,下南路500弄,上海市浦东新区下南路500弄,121.539027,31.172119,121.5347331,31.17427556,北蔡镇
浦东新区,年家浜路461弄,上海市浦东新区年家浜路461弄,121.571239,31.112385,121.567024,31.1146321,周浦镇
浦东新区,利津路1313弄,上海市浦东新区利津路1313弄,121.592683,31.281026,121.5884758,31.28320583,浦兴路街道
浦东新区,千汇路198弄,上海市浦东新区千汇路198弄,121.769555,31.105503,121.7652036,31.10758895,祝桥镇
浦东新区,张江诸家宅,上海市浦东新区张江诸家宅,121.549336,31.218182,121.5450667,31.22033892,花木街道
浦东新区,民耀路227弄,上海市浦东新区民耀路227弄,121.654274,31.272719,121.6500141,31.27484383,曹路镇
浦东新区,上川路620号,上海市浦东新区上川路620号,121.648126,31.2738,121.6438769,31.27593511,曹路镇
浦东新区,瑞安路700弄,上海市浦东新区瑞安路700弄,121.601315,31.091565,121.5971256,31.09383892,周浦镇
浦东新区,海阳路1001弄,上海市浦东新区海阳路1001弄,121.504745,31.158836,121.500337,31.16090435,三林镇
浦东新区,新环西路27号,上海市浦东新区新环西路|27号,121.639682,31.015632,121.6354679,31.01791521,新场镇
浦东新区,东书房路560弄,上海市浦东新区东书房路560弄,121.534836,31.161298,121.5305304,31.16344982,三林镇
浦东新区,沪东新村,上海市浦东新区沪东新村,121.582324,31.271033,121.5781101,31.27321233,沪东新村街道
浦东新区,妙境北路323号,上海市浦东新区妙境北路323号,121.687104,31.204546,121.6827872,31.20664012,唐镇
浦东新区,南塘村顾家宅,上海市浦东新区南塘村,121.5682,31.339076,121.5639612,31.34121485,高桥镇
浦东新区,靖海南路567弄,上海市浦东新区靖海南路567弄,121.769591,31.033008,121.7652457,31.03513527,惠南镇
浦东新区,潍坊七村,上海市浦东新区坊七村,121.521862,31.224513,121.5175089,31.2265989,潍坊新村街道
浦东新区,银冬路568号,上海市浦东新区银冬路568号,121.635976,31.205075,121.6317516,31.20726027,张江镇
浦东新区,江绣路633弄,上海市浦东新区江绣路633弄,121.739048,31.168565,121.7346757,31.1706128,祝桥镇
浦东新区,国展路1776号工地生活区,上海市黄浦区工地生活区,121.490505,31.20047,121.4860422,31.20247465,半淞园路街道
浦东新区,沈家弄路801弄,上海市浦东新区801弄,121.550472,31.236543,121.5462041,31.2386937,洋泾街道
浦东新区,鹏飞路411弄,上海市浦东新区鹏飞路411弄,121.556073,31.171023,121.551824,31.1732162,北蔡镇
浦东新区,航鹤路1858弄,上海市浦东新区航鹤路1858弄,121.584491,31.050021,121.5802973,31.05231503,航头镇
浦东新区,中界村陈家队陈家宅,上海市浦东新区中界村陈家队陈家宅,121.566124,31.192456,121.5618938,31.19465457,北蔡镇
浦东新区,卫行村朱家队朱家宅,上海市浦东新区卫行村朱家队朱家宅,121.582983,31.16147,121.5787788,31.16370165,北蔡镇
浦东新区,浦电路149弄,上海市浦东新区浦电路149弄,121.521332,31.217907,121.5169776,31.21999452,潍坊新村街道
浦东新区,一心村,上海市浦东新区一心村,121.682249,31.243624,121.677938,31.24570882,唐镇
浦东新区,洪山路1889弄,上海市浦东新区洪山路1889弄,121.511258,31.15132,121.506874,31.15341168,三林镇
浦东新区,苗圃路400弄,上海市浦东新区苗圃路400弄,121.550179,31.239007,121.5459102,31.24115598,洋泾街道
浦东新区,莲振路269号,上海市浦东新区莲振路269号,121.567856,31.16797,121.5636309,31.17018327,北蔡镇
浦东新区,上南路3827弄,上海市浦东新区上南路3827弄,121.506756,31.151746,121.5023558,31.15382407,三林镇
浦东新区,云山路1415弄,上海市浦东新区云山路,121.574829,31.24597,121.5706082,31.24815385,金杨新村街道
浦东新区,康沈路465弄,上海市浦东新区康沈路465弄,121.571366,31.139676,121.567149,31.14190847,康桥镇
浦东新区,杨思路502弄,上海市浦东新区杨思路502弄,121.495103,31.160603,121.49066,31.16264146,三林镇
浦东新区,华夏二路1255弄,上海市浦东新区华夏二路1255弄,121.691134,31.17602,121.6868124,31.17812104,川沙新镇
浦东新区,关岳路181弄,上海市浦东新区关岳路181弄,121.586652,31.120165,121.5824544,31.12242073,周浦镇
浦东新区,长岛路1560弄,上海市浦东新区长岛路1560弄,121.600996,31.264129,121.5967923,31.26631624,浦兴路街道
浦东新区,金桥路530弄,上海市浦东新区金桥路530弄,121.574344,31.26157,121.5701213,31.26374648,金杨新村街道
浦东新区,灵岩南路1065号,上海市浦东新区灵岩南路1065号,121.499765,31.143006,121.4953403,31.14506771,东明路街道
浦东新区,创新中路380弄,上海市浦东新区创新中路380弄,121.666064,31.20757,121.6617873,31.20970246,唐镇
浦东新区,御青路918弄,上海市浦东新区御青路918弄,121.571506,31.152805,121.5672881,31.1550307,康桥镇
浦东新区,五星村三联队黄家宅,上海市浦东新区五星村三联队黄家宅,121.57079,31.18234,121.5665685,31.18454967,北蔡镇
浦东新区,天花庵村芦家队芦家油车,上海市浦东新区芦家油车,121.526629,31.124134,121.5223003,31.12628404,三林镇
浦东新区,施湾二路766弄,上海市浦东新区施湾二路766弄,121.746576,31.146487,121.7422056,31.14854415,祝桥镇
浦东新区,光明村,上海市浦东新区光明村,121.658468,31.290572,121.6541988,31.29268184,曹路镇
浦东新区,浦东大道1097号,上海市浦东新区浦东大道|1097号,121.530893,31.242775,121.5265682,31.24487708,洋泾街道
浦东新区,联勤村冯桥队冯家宅,上海市浦东新区联勤村冯桥队冯家宅,121.55105,31.164892,121.5467895,31.16707878,北蔡镇
浦东新区,启明村,上海市浦东新区启明村,121.694654,31.276764,121.6903178,31.27881207,曹路镇
浦东新区,陈胡村,上海市浦东新区陈胡村,121.769073,31.194157,121.7647136,31.19619602,祝桥镇
浦东新区,园洲路189弄,上海市浦东新区园洲路189弄,121.636217,31.31512,121.6319831,31.31725728,高东镇
浦东新区,南码头路1349弄,上海市浦东新区南码头路1349弄,121.516431,31.182053,121.5120627,31.18414402,周家渡街道
浦东新区,卫行村张浜队顾家宅,上海市浦东新区卫行村张浜队顾家宅,121.581075,31.166186,121.5768685,31.16841388,北蔡镇
浦东新区,康杉路359弄,上海市浦东新区康杉路359弄,121.561527,31.151713,121.5572913,31.15392549,康桥镇
浦东新区,前进村东窑队南李家宅,上海市奉贤区南李家宅,121.660897,30.983312,121.6566488,30.98557784,奉城镇
浦东新区,下南路370弄,上海市浦东新区下南路370弄,121.539472,31.17009,121.5351796,31.17224866,北蔡镇
浦东新区,川周公路4318弄,上海市浦东新区川周公路4318弄,121.579924,31.12192,121.5757198,31.12417046,周浦镇
浦东新区,林德路718弄,上海市浦东新区林德路718弄,121.509853,31.129501,121.5054658,31.13160014,三林镇
浦东新区,五莲路1047弄,上海市浦东新区五莲路1047弄,121.594135,31.272572,121.5899291,31.27475563,浦兴路街道
浦东新区,罗山路1700弄,上海市浦东新区罗山路1700弄,121.568261,31.225587,121.5640318,31.22777252,花木街道
浦东新区,上南路3521号,上海市浦东新区上南路3521号,121.504159,31.155069,121.4997492,31.15713756,三林镇
浦东新区,下南路320弄,上海市浦东新区下南路320弄,121.540558,31.1687,121.5362689,31.17086195,北蔡镇
浦东新区,东方路3344弄,上海市浦东新区东方路3344弄,121.513748,31.193316,121.5093693,31.19539359,南码头路街道
浦东新区,环东中心村,上海市浦东新区中心村,121.643934,31.179506,121.6396997,31.18169186,张江镇
浦东新区,博山路12弄,上海市浦东新区博山路12弄,121.556813,31.246074,121.5525594,31.24823244,洋泾街道
浦东新区,博华路999弄,上海市浦东新区博华路999弄,121.549868,31.170129,121.5456041,31.17231071,北蔡镇
浦东新区,柳埠路135弄,上海市浦东新区柳埠路135弄,121.58407,31.26168,121.5798585,31.26386446,沪东新村街道
浦东新区,瑞意路399弄,上海市浦东新区瑞意路399弄,121.587536,31.095878,121.583341,31.09814755,周浦镇
浦东新区,德州路255弄,上海市浦东新区德州路255弄,121.492316,31.168652,121.4878623,31.17067797,上钢新村街道
浦东新区,金业路72号,上海市浦东新区金业路72号,121.590196,31.253971,121.5859897,31.25616169,浦兴路街道
浦东新区,灵山路1390弄,上海市浦东新区灵山路1390弄,121.563602,31.236709,121.5593634,31.23888283,洋泾街道
浦东新区,银峰路676弄,上海市浦东新区银峰路676弄,121.690757,31.26498,121.6864285,31.26703987,曹路镇
浦东新区,五星村陈家队陈家宅,上海市浦东新区五星村陈家队陈家宅,121.567638,31.191891,121.5634105,31.19409191,北蔡镇
浦东新区,城南村一队朱家宅,上海市浦东新区城南村,121.699489,31.187777,121.6951523,31.1898579,川沙新镇
浦东新区,东方路573弄,上海市浦东新区东方路573弄,121.524899,31.231944,121.5205555,31.2340349,陆家嘴街道
浦东新区,临江村王家宅,上海市浦东新区王家宅,121.680159,31.166252,121.6758584,31.1683782,川沙新镇
浦东新区,周市路380弄,上海市浦东新区周市路380弄,121.581531,31.117984,121.5773289,31.12023782,周浦镇
浦东新区,海春路65弄,上海市浦东新区海春路65弄,121.585274,31.34994,121.5810562,31.35209107,高桥镇
浦东新区,秀龙村,上海市浦东新区秀龙村,121.562722,31.126242,121.5584908,31.12846995,康桥镇
浦东新区,瑞浦路77弄,上海市浦东新区瑞浦路77弄,121.587598,31.097959,121.5834029,31.10022742,周浦镇
浦东新区,康弘路508弄,上海市浦东新区康弘路508弄,121.60117,31.123002,121.596978,31.12525859,康桥镇
浦东新区,柳埠路142弄,上海市浦东新区柳埠路142弄,121.581054,31.263372,121.5768394,31.26555369,沪东新村街道
浦东新区,钱堂村,上海市浦东新区钱堂村,121.608091,31.157408,121.6038952,31.15964417,张江镇
浦东新区,碧云路86弄,上海市浦东新区碧云路86弄,121.576465,31.235968,121.5722472,31.23815799,花木街道
浦东新区,浦东大道2639弄,上海市浦东新区浦东大道2639弄,121.567533,31.263746,121.5632994,31.26591343,金杨新村街道
浦东新区,华夏西路5778号,上海市浦东新区华夏西路5778号,121.580603,31.166133,121.5763959,31.16836055,北蔡镇
浦东新区,莲安西路123弄,上海市浦东新区莲安西路123弄,121.553067,31.178411,121.5488103,31.18059483,北蔡镇
浦东新区,东陆路429弄,上海市浦东新区东陆路429弄,121.586703,31.280783,121.5824921,31.28296082,沪东新村街道
浦东新区,商城路1177弄,上海市浦东新区商城路1177弄,121.527836,31.235868,121.5235019,31.2379651,陆家嘴街道
浦东新区,高青路4567弄,上海市浦东新区高青路4567弄,121.561787,31.171069,121.5575502,31.17327186,北蔡镇
浦东新区,康士路15弄,上海市浦东新区康士路15弄,121.563172,31.149112,121.5589398,31.15132841,康桥镇
浦东新区,金口路471弄,上海市浦东新区金口路471弄,121.582188,31.246222,121.577976,31.24841204,金杨新村街道
浦东新区,周秀路118弄,上海市浦东新区周秀路118弄,121.605285,31.099961,121.6010946,31.10222926,周浦镇
浦东新区,严杨路45弄,上海市浦东新区严杨路45弄,121.52869,31.194293,121.5243622,31.19641216,花木街道
浦东新区,浦东大道1623弄,上海市浦东新区浦东大道1623弄,121.542275,31.245815,121.5379844,31.24794378,洋泾街道
浦东新区,兰陵路24弄,上海市浦东新区兰陵路24弄,121.517012,31.194396,121.5126447,31.19648255,南码头路街道
浦东新区,南新村西钟家宅,上海市浦东新区南新村,121.7887,30.87171,121.7843977,30.87395196,泥城镇
浦东新区,长岛路825弄,上海市浦东新区长岛路825弄,121.588467,31.26058,121.5842591,31.26276716,浦兴路街道
浦东新区,板泉路2000弄,上海市浦东新区板泉路2000弄,121.531224,31.165656,121.5269067,31.1677963,三林镇
浦东新区,东陆路1018弄,上海市浦东新区东陆路1018弄,121.592675,31.27294,121.5884685,31.2751232,浦兴路街道
浦东新区,周康路169号,上海市浦东新区周康路169号,121.572769,31.108214,121.5685567,31.11046515,周浦镇
浦东新区,杨高北路3885弄,上海市浦东新区杨高北路3885弄,121.607564,31.284151,121.6033579,31.28632794,高行镇
浦东新区,鹤永路751弄,上海市浦东新区鹤永路751弄,121.604808,31.071996,121.60062,31.07428015,航头镇
浦东新区,临江村益民队罗汉松,上海市浦东新区罗汉松,121.4818,31.12607,121.477313,31.12808759,三林镇
浦东新区,周园路1680弄,上海市浦东新区周园路,121.596327,31.098794,121.5921362,31.10106415,周浦镇
浦东新区,霞玉路436弄,上海市浦东新区霞玉路436弄,121.695041,31.257008,121.6907058,31.25906385,曹路镇
浦东新区,盛荣路288弄,上海市浦东新区盛荣路288弄,121.605796,31.169961,121.6015997,31.1721916,张江镇
浦东新区,御青路56弄,上海市浦东新区御青路56弄,121.569847,31.161718,121.5656257,31.16393705,北蔡镇
浦东新区,杨莲路310弄,上海市浦东新区杨莲路,121.54994,31.16502,121.5456767,31.16720448,北蔡镇
浦东新区,红星村一队张家宅,上海市浦东新区一队张家宅,121.714369,31.234096,121.7100079,31.23613309,合庆镇
浦东新区,康弘路515弄,上海市浦东新区康弘路515弄,121.599273,31.12266,121.5950808,31.12491699,康桥镇
浦东新区,绿林路320弄,上海市浦东新区绿林路320弄,121.547503,31.170084,121.543233,31.1722608,北蔡镇
