date,address,district
20220412,八灶村唐家宅,浦东新区
20220412,白杨路1155弄,浦东新区
20220412,百曲村,浦东新区
20220412,板泉路1821号工地生活区,浦东新区
20220412,板泉路2101弄,浦东新区
20220412,北艾路1128弄,浦东新区
20220412,北艾路1130弄,浦东新区
20220412,北艾路1200弄,浦东新区
20220412,北艾路1660弄,浦东新区
20220412,北蔡大街31弄,浦东新区
20220412,北蔡三村,浦东新区
20220412,北蔡镇南新村,浦东新区
20220412,北蔡镇吴家宅,浦东新区
20220412,北蔡镇徐家宅,浦东新区
20220412,北蔡镇姚家宅,浦东新区
20220412,北蔡镇周家宅,浦东新区
20220412,北城壕路111弄,浦东新区
20220412,北万家宅,浦东新区
20220412,北新园路350弄,浦东新区
20220412,北张家浜路28弄,浦东新区
20220412,北张家浜路58号,浦东新区
20220412,北中路247弄,浦东新区
20220412,滨海一村傅家宅,浦东新区
20220412,滨海一村龚家宅,浦东新区
20220412,滨海一村盛家宅,浦东新区
20220412,博华路930弄,浦东新区
20220412,博华路999弄,浦东新区
20220412,博山东路111弄,浦东新区
20220412,博山东路136弄,浦东新区
20220412,博山东路440弄,浦东新区
20220412,博山东路811弄,浦东新区
20220412,博山路12弄,浦东新区
20220412,博山路51弄,浦东新区
20220412,博兴路1383弄,浦东新区
20220412,博兴路250弄,浦东新区
20220412,博兴路341弄,浦东新区
20220412,博兴路462弄,浦东新区
20220412,博兴路465弄,浦东新区
20220412,博兴路467号,浦东新区
20220412,博兴路616弄,浦东新区
20220412,博兴路799弄,浦东新区
20220412,博兴路986弄,浦东新区
20220412,彩云路220弄,浦东新区
20220412,彩云路51弄,浦东新区
20220412,蔡路村东蔡家宅,浦东新区
20220412,蔡路村杨家宅,浦东新区
20220412,曹家油车,浦东新区
20220412,曹路镇姜家宅,浦东新区
20220412,草高支路1050弄,浦东新区
20220412,草高支路1118弄,浦东新区
20220412,草高支路168弄,浦东新区
20220412,草高支路170弄,浦东新区
20220412,草高支路766弄,浦东新区
20220412,柴场村工地生活区,浦东新区
20220412,长浜村,浦东新区
20220412,长岛路1066弄,浦东新区
20220412,长岛路1201弄,浦东新区
20220412,长岛路1203弄,浦东新区
20220412,长岛路1267弄,浦东新区
20220412,长岛路1280弄,浦东新区
20220412,长岛路1398弄,浦东新区
20220412,长岛路1560弄,浦东新区
20220412,长岛路259弄,浦东新区
20220412,长岛路625弄,浦东新区
20220412,长岛路728弄,浦东新区
20220412,长岛路800弄,浦东新区
20220412,长岛路823弄,浦东新区
20220412,长岛路85弄,浦东新区
20220412,长丰村北张家宅,浦东新区
20220412,长丰村顾家宅,浦东新区
20220412,长丰村陆家宅,浦东新区
20220412,长丰村南张家宅,浦东新区
20220412,长江村,浦东新区
20220412,长路村,浦东新区
20220412,长桥村龚家宅,浦东新区
20220412,长桥村吴家宅,浦东新区
20220412,长清路103弄,浦东新区
